time;nb_octet;file;size;rtt
35.0;131360;data_4.tr;0;11
36.0;191440;data_4.tr;0;11
37.0;231840;data_4.tr;0;11
38.0;282120;data_4.tr;0;11
39.0;322280;data_4.tr;0;11
40.0;121400;data_4.tr;0;11
41.0;141080;data_4.tr;0;11
42.0;231600;data_4.tr;0;11
43.0;211760;data_4.tr;0;11
44.0;252280;data_4.tr;0;11
45.0;282200;data_4.tr;0;11
46.0;120960;data_4.tr;0;11
47.0;241720;data_4.tr;0;11
48.0;302280;data_4.tr;0;11
49.0;262360;data_4.tr;0;11
50.0;402680;data_4.tr;0;11
51.0;60800;data_4.tr;0;11
52.0;90840;data_4.tr;0;11
53.0;130840;data_4.tr;0;11
54.0;131200;data_4.tr;0;11
55.0;231640;data_4.tr;0;11
56.0;262040;data_4.tr;0;11
57.0;171440;data_4.tr;0;11
58.0;110840;data_4.tr;0;11
59.0;161240;data_4.tr;0;11
60.0;191760;data_4.tr;0;11
61.0;251800;data_4.tr;0;11
62.0;100880;data_4.tr;0;11
63.0;211600;data_4.tr;0;11
64.0;292080;data_4.tr;0;11
65.0;232000;data_4.tr;0;11
66.0;292360;data_4.tr;0;11
67.0;70520;data_4.tr;0;11
68.0;70720;data_4.tr;0;11
69.0;161080;data_4.tr;0;11
70.0;171320;data_4.tr;0;11
71.0;191720;data_4.tr;0;11
72.0;201600;data_4.tr;0;11
73.0;110680;data_4.tr;0;11
74.0;171400;data_4.tr;0;11
75.0;231600;data_4.tr;0;11
76.0;222040;data_4.tr;0;11
77.0;392760;data_4.tr;0;11
78.0;413360;data_4.tr;0;11
79.0;443440;data_4.tr;0;11
80.0;403600;data_4.tr;0;11
81.0;60520;data_4.tr;0;11
82.0;292200;data_4.tr;0;11
83.0;322400;data_4.tr;0;11
84.0;382760;data_4.tr;0;11
85.0;171800;data_4.tr;0;11
86.0;120720;data_4.tr;0;11
87.0;171560;data_4.tr;0;11
88.0;231800;data_4.tr;0;11
89.0;292120;data_4.tr;0;11
90.0;60560;data_4.tr;0;11
91.0;131200;data_4.tr;0;11
92.0;231600;data_4.tr;0;11
93.0;251960;data_4.tr;0;11
94.0;90960;data_4.tr;0;11
95.0;110840;data_4.tr;0;11
96.0;231560;data_4.tr;0;11
97.0;201760;data_4.tr;0;11
98.0;342440;data_4.tr;0;11
99.0;343040;data_4.tr;0;11
100.0;483480;data_4.tr;0;11
101.0;393560;data_4.tr;0;11
102.0;604400;data_4.tr;0;11
103.0;403320;data_4.tr;0;11
104.0;524000;data_4.tr;0;11
105.0;483720;data_4.tr;0;11
106.0;403640;data_4.tr;0;11
107.0;604440;data_4.tr;0;11
108.0;403320;data_4.tr;0;11
109.0;514000;data_4.tr;0;11
110.0;90960;data_4.tr;0;11
111.0;281960;data_4.tr;0;11
112.0;252240;data_4.tr;0;11
113.0;131160;data_4.tr;0;11
114.0;120720;data_4.tr;0;11
115.0;151360;data_4.tr;0;11
116.0;221640;data_4.tr;0;11
117.0;262000;data_4.tr;0;11
118.0;60600;data_4.tr;0;11
119.0;130960;data_4.tr;0;11
120.0;221680;data_4.tr;0;11
121.0;241880;data_4.tr;0;11
122.0;231960;data_4.tr;0;11
123.0;70440;data_4.tr;0;11
124.0;121080;data_4.tr;0;11
125.0;231560;data_4.tr;0;11
126.0;221800;data_4.tr;0;11
127.0;232000;data_4.tr;0;11
128.0;80520;data_4.tr;0;11
129.0;131120;data_4.tr;0;11
130.0;251720;data_4.tr;0;11
131.0;211600;data_4.tr;0;11
132.0;252200;data_4.tr;0;11
133.0;151320;data_4.tr;0;11
134.0;141040;data_4.tr;0;11
135.0;201760;data_4.tr;0;11
136.0;312120;data_4.tr;0;11
137.0;241800;data_4.tr;0;11
138.0;141400;data_4.tr;0;11
139.0;151080;data_4.tr;0;11
140.0;191480;data_4.tr;0;11
141.0;211720;data_4.tr;0;11
142.0;231960;data_4.tr;0;11
143.0;110680;data_4.tr;0;11
144.0;161320;data_4.tr;0;11
145.0;181560;data_4.tr;0;11
146.0;281920;data_4.tr;0;11
147.0;90880;data_4.tr;0;11
148.0;141240;data_4.tr;0;11
149.0;181400;data_4.tr;0;11
150.0;291960;data_4.tr;0;11
151.0;171720;data_4.tr;0;11
152.0;120760;data_4.tr;0;11
153.0;151160;data_4.tr;0;11
154.0;191520;data_4.tr;0;11
155.0;262120;data_4.tr;0;11
156.0;110920;data_4.tr;0;11
157.0;70680;data_4.tr;0;11
158.0;150960;data_4.tr;0;11
159.0;141160;data_4.tr;0;11
160.0;191640;data_4.tr;0;11
161.0;231720;data_4.tr;0;11
162.0;110880;data_4.tr;0;11
163.0;161240;data_4.tr;0;11
164.0;191400;data_4.tr;0;11
165.0;211880;data_4.tr;0;11
166.0;221840;data_4.tr;0;11
167.0;362480;data_4.tr;0;11
168.0;70800;data_4.tr;0;11
169.0;100880;data_4.tr;0;11
170.0;231520;data_4.tr;0;11
